MEMBER_ID,PORTFOLIO,OPTIMIZED_EXPECTED_FINAL_PORTFOLIO_VALUE,OPTIMIZED_MEDIAN_FINAL_PORTFOLIO_VALUE,OPTIMIZED_STANDARD_DEVIATION_OF_FINAL_PORTFOLIO_VALUE,OPTIMIZED_VALUE_AT_RISK,OPTIMIZED_CONDITIONAL_VALUE_AT_RISK,OPTIMIZED_PROBABILITY_OF_LOSS,OPTIMIZED_SHARPE_RATIO
MID000015,ALPA,"$1,293.31","$1,266.23",$287.37,$94.58,$192.29,13.80%,1.0207
MID000015,TWM,"$1,293.31","$1,266.23",$287.37,$94.58,$192.29,13.80%,1.0207
MID000015,HD,"$1,293.31","$1,266.23",$287.37,$94.58,$192.29,13.80%,1.0207
MID000015,KRM,"$1,293.31","$1,266.23",$287.37,$94.58,$192.29,13.80%,1.0207
MID000015,EG,"$1,293.31","$1,266.23",$287.37,$94.58,$192.29,13.80%,1.0207
MID000015,NTIC,"$1,293.31","$1,266.23",$287.37,$94.58,$192.29,13.80%,1.0207
MID000016,GMNA,"$63,451.59","$61,872.72","$13,365.80","$5,215.17","$8,913.17",12.20%,1.0812
MID000016,AB,"$63,451.59","$61,872.72","$13,365.80","$5,215.17","$8,913.17",12.20%,1.0812
MID000016,MTFS,"$63,451.59","$61,872.72","$13,365.80","$5,215.17","$8,913.17",12.20%,1.0812
MID000016,MPJ,"$63,451.59","$61,872.72","$13,365.80","$5,215.17","$8,913.17",12.20%,1.0812
MID000016,MMM,"$63,451.59","$61,872.72","$13,365.80","$5,215.17","$8,913.17",12.20%,1.0812
MID000017,PG,"$57,761.40","$56,651.35","$12,591.18","$5,857.86","$9,165.65",15.00%,1.0135
MID000017,HD,"$57,761.40","$56,651.35","$12,591.18","$5,857.86","$9,165.65",15.00%,1.0135
MID000017,MZNA,"$57,761.40","$56,651.35","$12,591.18","$5,857.86","$9,165.65",15.00%,1.0135
MID000017,OOGGL,"$57,761.40","$56,651.35","$12,591.18","$5,857.86","$9,165.65",15.00%,1.0135
MID000017,KRM,"$57,761.40","$56,651.35","$12,591.18","$5,857.86","$9,165.65",15.00%,1.0135
MID000017,EG,"$57,761.40","$56,651.35","$12,591.18","$5,857.86","$9,165.65",15.00%,1.0135
MID000017,AB,"$57,761.40","$56,651.35","$12,591.18","$5,857.86","$9,165.65",15.00%,1.0135
MID000018,FWC,"$62,730.22","$61,012.86","$13,112.37","$4,028.11","$8,783.13",12.80%,1.0471
MID000018,TWM,"$62,730.22","$61,012.86","$13,112.37","$4,028.11","$8,783.13",12.80%,1.0471
MID000018,JJN,"$62,730.22","$61,012.86","$13,112.37","$4,028.11","$8,783.13",12.80%,1.0471
MID000018,HD,"$62,730.22","$61,012.86","$13,112.37","$4,028.11","$8,783.13",12.80%,1.0471
MID000019,JJN,"$6,474.07","$6,281.27","$1,347.18",$349.31,$795.95,11.20%,1.0942
MID000019,SM,"$6,474.07","$6,281.27","$1,347.18",$349.31,$795.95,11.20%,1.0942
MID000019,TCA,"$6,474.07","$6,281.27","$1,347.18",$349.31,$795.95,11.20%,1.0942
MID000019,ONH,"$6,474.07","$6,281.27","$1,347.18",$349.31,$795.95,11.20%,1.0942
MID000019,ALPA,"$6,474.07","$6,281.27","$1,347.18",$349.31,$795.95,11.20%,1.0942
MID000019,LTSA,"$6,474.07","$6,281.27","$1,347.18",$349.31,$795.95,11.20%,1.0942
MID000019,TWM,"$6,474.07","$6,281.27","$1,347.18",$349.31,$795.95,11.20%,1.0942
MID000020,TCA,"$1,295.01","$1,267.19",$272.40,$96.59,$163.33,12.20%,1.083
MID000020,OCST,"$1,295.01","$1,267.19",$272.40,$96.59,$163.33,12.20%,1.083
MID000020,PG,"$1,295.01","$1,267.19",$272.40,$96.59,$163.33,12.20%,1.083
MID000020,NTIC,"$1,295.01","$1,267.19",$272.40,$96.59,$163.33,12.20%,1.083
MID000021,TCA,"$103,165.47","$100,249.98","$21,929.25","$9,328.93","$14,288.60",12.60%,1.0564
MID000021,HD,"$103,165.47","$100,249.98","$21,929.25","$9,328.93","$14,288.60",12.60%,1.0564
MID000021,MMM,"$103,165.47","$100,249.98","$21,929.25","$9,328.93","$14,288.60",12.60%,1.0564
MID000021,LTSA,"$103,165.47","$100,249.98","$21,929.25","$9,328.93","$14,288.60",12.60%,1.0564
MID000021,ABT,"$103,165.47","$100,249.98","$21,929.25","$9,328.93","$14,288.60",12.60%,1.0564
MID000021,DMC,"$103,165.47","$100,249.98","$21,929.25","$9,328.93","$14,288.60",12.60%,1.0564
MID000021,AB,"$103,165.47","$100,249.98","$21,929.25","$9,328.93","$14,288.60",12.60%,1.0564
MID000021,OCST,"$103,165.47","$100,249.98","$21,929.25","$9,328.93","$14,288.60",12.60%,1.0564
MID000021,OOGGL,"$103,165.47","$100,249.98","$21,929.25","$9,328.93","$14,288.60",12.60%,1.0564
MID000022,NTIC,"$112,392.59","$109,344.27","$22,908.16","$7,688.52","$13,218.48",13.00%,1.0648
MID000022,GS,"$112,392.59","$109,344.27","$22,908.16","$7,688.52","$13,218.48",13.00%,1.0648
MID000022,ALPA,"$112,392.59","$109,344.27","$22,908.16","$7,688.52","$13,218.48",13.00%,1.0648
MID000022,DMC,"$112,392.59","$109,344.27","$22,908.16","$7,688.52","$13,218.48",13.00%,1.0648
MID000023,CCSO,"$1,306,319.72","$1,256,278.03","$271,328.81","$59,534.77","$133,894.06",11.00%,1.129
MID000023,OOGGL,"$1,306,319.72","$1,256,278.03","$271,328.81","$59,534.77","$133,894.06",11.00%,1.129
MID000023,KRM,"$1,306,319.72","$1,256,278.03","$271,328.81","$59,534.77","$133,894.06",11.00%,1.129
MID000023,TWM,"$1,306,319.72","$1,256,278.03","$271,328.81","$59,534.77","$133,894.06",11.00%,1.129
MID000024,CCSO,"$1,299.62","$1,274.53",$279.37,$122.90,$190.65,12.40%,1.0725
MID000024,DMC,"$1,299.62","$1,274.53",$279.37,$122.90,$190.65,12.40%,1.0725
MID000024,ABT,"$1,299.62","$1,274.53",$279.37,$122.90,$190.65,12.40%,1.0725
MID000025,OOGGL,"$116,677.98","$113,604.78","$26,049.60","$9,728.93","$16,082.57",10.60%,1.1009
MID000025,MZNA,"$116,677.98","$113,604.78","$26,049.60","$9,728.93","$16,082.57",10.60%,1.1009
MID000026,DMC,"$88,750.29","$86,853.72","$20,342.76","$9,285.50","$14,302.01",16.20%,0.9709
MID000026,NTIC,"$88,750.29","$86,853.72","$20,342.76","$9,285.50","$14,302.01",16.20%,0.9709
MID000026,ABT,"$88,750.29","$86,853.72","$20,342.76","$9,285.50","$14,302.01",16.20%,0.9709
MID000026,CCSO,"$88,750.29","$86,853.72","$20,342.76","$9,285.50","$14,302.01",16.20%,0.9709
MID000026,OK,"$88,750.29","$86,853.72","$20,342.76","$9,285.50","$14,302.01",16.20%,0.9709
MID000027,EPF,"$115,089.07","$113,126.07","$26,212.41","$10,943.88","$16,344.85",14.40%,1.0334
MID000027,EG,"$115,089.07","$113,126.07","$26,212.41","$10,943.88","$16,344.85",14.40%,1.0334
MID000027,NTIC,"$115,089.07","$113,126.07","$26,212.41","$10,943.88","$16,344.85",14.40%,1.0334
MID000028,DMC,"$12,985.81","$12,657.20","$2,739.53",$994.22,"$1,736.26",13.20%,1.0899
MID000028,MTFS,"$12,985.81","$12,657.20","$2,739.53",$994.22,"$1,736.26",13.20%,1.0899
MID000029,ABC,"$51,049.32","$49,570.98","$10,317.30","$3,246.31","$5,685.92",12.20%,1.071
MID000029,JJN,"$51,049.32","$49,570.98","$10,317.30","$3,246.31","$5,685.92",12.20%,1.071
MID000029,KRM,"$51,049.32","$49,570.98","$10,317.30","$3,246.31","$5,685.92",12.20%,1.071
MID000029,PG,"$51,049.32","$49,570.98","$10,317.30","$3,246.31","$5,685.92",12.20%,1.071
MID000029,SM,"$51,049.32","$49,570.98","$10,317.30","$3,246.31","$5,685.92",12.20%,1.071
MID000029,OCST,"$51,049.32","$49,570.98","$10,317.30","$3,246.31","$5,685.92",12.20%,1.071
MID000029,NTIC,"$51,049.32","$49,570.98","$10,317.30","$3,246.31","$5,685.92",12.20%,1.071
MID000029,GS,"$51,049.32","$49,570.98","$10,317.30","$3,246.31","$5,685.92",12.20%,1.071
MID000029,NEK,"$51,049.32","$49,570.98","$10,317.30","$3,246.31","$5,685.92",12.20%,1.071
MID000030,PEP,"$12,722.29","$12,560.05","$2,495.08","$1,111.63","$1,860.05",13.40%,1.0911
MID000030,ONH,"$12,722.29","$12,560.05","$2,495.08","$1,111.63","$1,860.05",13.40%,1.0911
MID000030,CCSO,"$12,722.29","$12,560.05","$2,495.08","$1,111.63","$1,860.05",13.40%,1.0911
MID000030,ALPA,"$12,722.29","$12,560.05","$2,495.08","$1,111.63","$1,860.05",13.40%,1.0911
MID000030,OK,"$12,722.29","$12,560.05","$2,495.08","$1,111.63","$1,860.05",13.40%,1.0911
MID000031,TWM,"$103,476.95","$100,982.84","$22,410.38","$8,418.59","$15,550.60",14.20%,1.0476
MID000031,KRM,"$103,476.95","$100,982.84","$22,410.38","$8,418.59","$15,550.60",14.20%,1.0476
MID000031,PEP,"$103,476.95","$100,982.84","$22,410.38","$8,418.59","$15,550.60",14.20%,1.0476
MID000032,ABC,"$63,928.03","$61,964.84","$13,827.02","$4,422.30","$7,583.35",12.60%,1.0796
MID000032,PEP,"$63,928.03","$61,964.84","$13,827.02","$4,422.30","$7,583.35",12.60%,1.0796
MID000032,ONH,"$63,928.03","$61,964.84","$13,827.02","$4,422.30","$7,583.35",12.60%,1.0796
MID000033,PG,"$12,949.50","$12,642.61","$2,915.04",$996.04,"$1,764.79",14.40%,1.0118
MID000033,TWM,"$12,949.50","$12,642.61","$2,915.04",$996.04,"$1,764.79",14.40%,1.0118
MID000033,NTIC,"$12,949.50","$12,642.61","$2,915.04",$996.04,"$1,764.79",14.40%,1.0118
MID000033,MZNA,"$12,949.50","$12,642.61","$2,915.04",$996.04,"$1,764.79",14.40%,1.0118
MID000033,DMC,"$12,949.50","$12,642.61","$2,915.04",$996.04,"$1,764.79",14.40%,1.0118
MID000033,MMM,"$12,949.50","$12,642.61","$2,915.04",$996.04,"$1,764.79",14.40%,1.0118
MID000034,ABT,"$91,479.57","$89,766.77","$19,989.89","$5,227.66","$10,047.99",13.00%,1.1245
MID000034,OK,"$91,479.57","$89,766.77","$19,989.89","$5,227.66","$10,047.99",13.00%,1.1245
MID000034,SM,"$91,479.57","$89,766.77","$19,989.89","$5,227.66","$10,047.99",13.00%,1.1245
MID000034,EPF,"$91,479.57","$89,766.77","$19,989.89","$5,227.66","$10,047.99",13.00%,1.1245
MID000034,TWM,"$91,479.57","$89,766.77","$19,989.89","$5,227.66","$10,047.99",13.00%,1.1245
MID000034,TCA,"$91,479.57","$89,766.77","$19,989.89","$5,227.66","$10,047.99",13.00%,1.1245
MID000035,PG,"$57,781.71","$56,824.06","$11,339.08","$3,263.02","$7,807.22",11.20%,1.1272
MID000035,JJN,"$57,781.71","$56,824.06","$11,339.08","$3,263.02","$7,807.22",11.20%,1.1272
MID000035,CCSO,"$57,781.71","$56,824.06","$11,339.08","$3,263.02","$7,807.22",11.20%,1.1272
MID000035,EPF,"$57,781.71","$56,824.06","$11,339.08","$3,263.02","$7,807.22",11.20%,1.1272
MID000036,ALPA,"$64,279.46","$63,088.70","$13,906.66","$5,477.73","$8,804.46",11.80%,1.0987
MID000036,SM,"$64,279.46","$63,088.70","$13,906.66","$5,477.73","$8,804.46",11.80%,1.0987
MID000037,KRM,"$111,955.17","$107,717.53","$24,575.05","$10,821.88","$17,333.54",14.80%,0.9748
MID000037,ABC,"$111,955.17","$107,717.53","$24,575.05","$10,821.88","$17,333.54",14.80%,0.9748
MID000037,MPJ,"$111,955.17","$107,717.53","$24,575.05","$10,821.88","$17,333.54",14.80%,0.9748
MID000037,PEP,"$111,955.17","$107,717.53","$24,575.05","$10,821.88","$17,333.54",14.80%,0.9748
MID000037,DMC,"$111,955.17","$107,717.53","$24,575.05","$10,821.88","$17,333.54",14.80%,0.9748
MID000037,OOGGL,"$111,955.17","$107,717.53","$24,575.05","$10,821.88","$17,333.54",14.80%,0.9748
MID000037,MMM,"$111,955.17","$107,717.53","$24,575.05","$10,821.88","$17,333.54",14.80%,0.9748
MID000037,TWM,"$111,955.17","$107,717.53","$24,575.05","$10,821.88","$17,333.54",14.80%,0.9748
MID000037,JJN,"$111,955.17","$107,717.53","$24,575.05","$10,821.88","$17,333.54",14.80%,0.9748
MID000038,EG,"$116,001.78","$112,480.53","$25,796.80","$12,789.53","$18,592.89",13.80%,1.0079
MID000038,PG,"$116,001.78","$112,480.53","$25,796.80","$12,789.53","$18,592.89",13.80%,1.0079
MID000038,MMM,"$116,001.78","$112,480.53","$25,796.80","$12,789.53","$18,592.89",13.80%,1.0079
MID000039,TCA,"$103,722.41","$101,281.13","$22,075.68","$8,123.79","$14,726.68",12.80%,1.0746
MID000039,NEK,"$103,722.41","$101,281.13","$22,075.68","$8,123.79","$14,726.68",12.80%,1.0746
MID000039,MMM,"$103,722.41","$101,281.13","$22,075.68","$8,123.79","$14,726.68",12.80%,1.0746
MID000039,EPF,"$103,722.41","$101,281.13","$22,075.68","$8,123.79","$14,726.68",12.80%,1.0746
MID000040,TWM,"$71,364.00","$69,103.32","$15,612.35","$5,745.12","$9,528.92",13.60%,1.0481
MID000040,DMC,"$71,364.00","$69,103.32","$15,612.35","$5,745.12","$9,528.92",13.60%,1.0481
MID000040,ONH,"$71,364.00","$69,103.32","$15,612.35","$5,745.12","$9,528.92",13.60%,1.0481
MID000040,MTFS,"$71,364.00","$69,103.32","$15,612.35","$5,745.12","$9,528.92",13.60%,1.0481
MID000040,MPJ,"$71,364.00","$69,103.32","$15,612.35","$5,745.12","$9,528.92",13.60%,1.0481
MID000040,EG,"$71,364.00","$69,103.32","$15,612.35","$5,745.12","$9,528.92",13.60%,1.0481
MID000041,LTSA,"$101,780.74","$99,996.35","$20,708.47","$9,301.45","$13,145.70",15.00%,1.0518
MID000041,ONH,"$101,780.74","$99,996.35","$20,708.47","$9,301.45","$13,145.70",15.00%,1.0518
MID000041,DMC,"$101,780.74","$99,996.35","$20,708.47","$9,301.45","$13,145.70",15.00%,1.0518
MID000041,TCA,"$101,780.74","$99,996.35","$20,708.47","$9,301.45","$13,145.70",15.00%,1.0518
MID000042,TWM,"$1,270.78","$1,237.88",$258.91,$99.11,$171.83,14.80%,1.0459
MID000042,EG,"$1,270.78","$1,237.88",$258.91,$99.11,$171.83,14.80%,1.0459
MID000042,OOGGL,"$1,270.78","$1,237.88",$258.91,$99.11,$171.83,14.80%,1.0459
MID000043,OOGGL,"$57,329.05","$55,783.56","$11,700.00","$4,327.41","$7,542.68",13.60%,1.0538
MID000043,PG,"$57,329.05","$55,783.56","$11,700.00","$4,327.41","$7,542.68",13.60%,1.0538
MID000043,PEP,"$57,329.05","$55,783.56","$11,700.00","$4,327.41","$7,542.68",13.60%,1.0538
MID000043,TWM,"$57,329.05","$55,783.56","$11,700.00","$4,327.41","$7,542.68",13.60%,1.0538
MID000043,JJN,"$57,329.05","$55,783.56","$11,700.00","$4,327.41","$7,542.68",13.60%,1.0538
MID000043,DMC,"$57,329.05","$55,783.56","$11,700.00","$4,327.41","$7,542.68",13.60%,1.0538
MID000044,TWM,"$63,604.11","$63,708.18","$13,409.66","$4,749.65","$8,337.46",15.00%,1.0891
MID000044,GMNA,"$63,604.11","$63,708.18","$13,409.66","$4,749.65","$8,337.46",15.00%,1.0891
MID000044,LTSA,"$63,604.11","$63,708.18","$13,409.66","$4,749.65","$8,337.46",15.00%,1.0891
MID000044,ALPA,"$63,604.11","$63,708.18","$13,409.66","$4,749.65","$8,337.46",15.00%,1.0891
MID000044,SM,"$63,604.11","$63,708.18","$13,409.66","$4,749.65","$8,337.46",15.00%,1.0891
MID000044,PG,"$63,604.11","$63,708.18","$13,409.66","$4,749.65","$8,337.46",15.00%,1.0891
MID000044,NEK,"$63,604.11","$63,708.18","$13,409.66","$4,749.65","$8,337.46",15.00%,1.0891
MID000044,TCA,"$63,604.11","$63,708.18","$13,409.66","$4,749.65","$8,337.46",15.00%,1.0891
MID000045,PEP,"$71,060.76","$68,949.39","$15,086.94","$4,904.95","$9,724.80",12.00%,1.0645
MID000045,NTIC,"$71,060.76","$68,949.39","$15,086.94","$4,904.95","$9,724.80",12.00%,1.0645
MID000046,ALPA,"$114,730.54","$110,833.24","$25,757.85","$9,269.60","$13,961.29",13.60%,1.0378
MID000046,PG,"$114,730.54","$110,833.24","$25,757.85","$9,269.60","$13,961.29",13.60%,1.0378
MID000046,MTFS,"$114,730.54","$110,833.24","$25,757.85","$9,269.60","$13,961.29",13.60%,1.0378
MID000046,LTSA,"$114,730.54","$110,833.24","$25,757.85","$9,269.60","$13,961.29",13.60%,1.0378
MID000046,OK,"$114,730.54","$110,833.24","$25,757.85","$9,269.60","$13,961.29",13.60%,1.0378
MID000046,ONH,"$114,730.54","$110,833.24","$25,757.85","$9,269.60","$13,961.29",13.60%,1.0378
MID000046,ABT,"$114,730.54","$110,833.24","$25,757.85","$9,269.60","$13,961.29",13.60%,1.0378
MID000046,JJN,"$114,730.54","$110,833.24","$25,757.85","$9,269.60","$13,961.29",13.60%,1.0378
MID000046,TWM,"$114,730.54","$110,833.24","$25,757.85","$9,269.60","$13,961.29",13.60%,1.0378
MID000047,ABC,"$12,825.19","$12,457.51","$2,861.70","$1,420.32","$1,888.15",15.40%,0.9872
MID000047,OK,"$12,825.19","$12,457.51","$2,861.70","$1,420.32","$1,888.15",15.40%,0.9872
MID000047,JJN,"$12,825.19","$12,457.51","$2,861.70","$1,420.32","$1,888.15",15.40%,0.9872
MID000047,LTSA,"$12,825.19","$12,457.51","$2,861.70","$1,420.32","$1,888.15",15.40%,0.9872
MID000048,LTSA,"$12,949.87","$12,664.57","$2,652.56",$915.78,"$1,588.21",14.00%,1.1121
MID000048,ONH,"$12,949.87","$12,664.57","$2,652.56",$915.78,"$1,588.21",14.00%,1.1121
MID000048,FWC,"$12,949.87","$12,664.57","$2,652.56",$915.78,"$1,588.21",14.00%,1.1121
MID000048,ABT,"$12,949.87","$12,664.57","$2,652.56",$915.78,"$1,588.21",14.00%,1.1121
MID000048,ALPA,"$12,949.87","$12,664.57","$2,652.56",$915.78,"$1,588.21",14.00%,1.1121
MID000048,KRM,"$12,949.87","$12,664.57","$2,652.56",$915.78,"$1,588.21",14.00%,1.1121
MID000049,NTIC,"$103,691.93","$101,942.75","$20,952.74","$7,426.94","$12,576.34",11.00%,1.1307
MID000049,MMM,"$103,691.93","$101,942.75","$20,952.74","$7,426.94","$12,576.34",11.00%,1.1307
MID000049,FWC,"$103,691.93","$101,942.75","$20,952.74","$7,426.94","$12,576.34",11.00%,1.1307
MID000049,EPF,"$103,691.93","$101,942.75","$20,952.74","$7,426.94","$12,576.34",11.00%,1.1307
MID000049,KRM,"$103,691.93","$101,942.75","$20,952.74","$7,426.94","$12,576.34",11.00%,1.1307
